ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ES2002A,MEHDAD.TXT,0.34109,0.21569,0.26426,1
ROUGE-1,ES2002A,BOUDIN.TXT,0.30233,0.24841,0.27273,1
ROUGE-1,ES2002A,FILIPPOVA.TXT,0.28682,0.25170,0.26812,1
ROUGE-1,ES2002A,TIXIER.TXT,0.32558,0.27273,0.29682,1
