index,lamda,scaling_factor
212,1.0,0.2
213,1.0,0.30000000000000004
214,1.0,0.4
215,1.0,0.5
216,1.0,0.6000000000000001
217,1.0,0.7000000000000001
218,1.0,0.8
219,1.0,0.9
220,1.0,1.0
221,1.0,1.1
222,1.0,1.2000000000000002
223,1.0,1.3
224,1.0,1.4000000000000001
225,1.0,1.5
226,1.0,1.6
227,1.0,1.7000000000000002
228,1.0,1.8
229,1.0,1.9000000000000001
230,1.0,2.0
