index,lamda,scaling_factor
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.30000000000000004
4,0.0,0.4
5,0.0,0.5
6,0.0,0.6000000000000001
7,0.0,0.7000000000000001
8,0.0,0.8
9,0.0,0.9
10,0.0,1.0
11,0.0,1.1
12,0.0,1.2000000000000002
13,0.0,1.3
14,0.0,1.4000000000000001
15,0.0,1.5
16,0.0,1.6
17,0.0,1.7000000000000002
18,0.0,1.8
19,0.0,1.9000000000000001
20,0.0,2.0
21,0.1,0.0
22,0.1,0.1
23,0.1,0.2
24,0.1,0.30000000000000004
25,0.1,0.4
26,0.1,0.5
27,0.1,0.6000000000000001
28,0.1,0.7000000000000001
29,0.1,0.8
30,0.1,0.9
31,0.1,1.0
32,0.1,1.1
33,0.1,1.2000000000000002
34,0.1,1.3
35,0.1,1.4000000000000001
36,0.1,1.5
37,0.1,1.6
38,0.1,1.7000000000000002
39,0.1,1.8
40,0.1,1.9000000000000001
41,0.1,2.0
42,0.2,0.0
43,0.2,0.1
44,0.2,0.2
45,0.2,0.30000000000000004
46,0.2,0.4
47,0.2,0.5
48,0.2,0.6000000000000001
49,0.2,0.7000000000000001
50,0.2,0.8
51,0.2,0.9
52,0.2,1.0
53,0.2,1.1
54,0.2,1.2000000000000002
55,0.2,1.3
56,0.2,1.4000000000000001
57,0.2,1.5
58,0.2,1.6
59,0.2,1.7000000000000002
60,0.2,1.8
61,0.2,1.9000000000000001
62,0.2,2.0
63,0.30000000000000004,0.0
64,0.30000000000000004,0.1
65,0.30000000000000004,0.2
66,0.30000000000000004,0.30000000000000004
67,0.30000000000000004,0.4
68,0.30000000000000004,0.5
69,0.30000000000000004,0.6000000000000001
70,0.30000000000000004,0.7000000000000001
71,0.30000000000000004,0.8
72,0.30000000000000004,0.9
73,0.30000000000000004,1.0
74,0.30000000000000004,1.1
75,0.30000000000000004,1.2000000000000002
76,0.30000000000000004,1.3
77,0.30000000000000004,1.4000000000000001
78,0.30000000000000004,1.5
79,0.30000000000000004,1.6
80,0.30000000000000004,1.7000000000000002
81,0.30000000000000004,1.8
82,0.30000000000000004,1.9000000000000001
83,0.30000000000000004,2.0
84,0.4,0.0
85,0.4,0.1
86,0.4,0.2
87,0.4,0.30000000000000004
88,0.4,0.4
89,0.4,0.5
90,0.4,0.6000000000000001
91,0.4,0.7000000000000001
92,0.4,0.8
93,0.4,0.9
94,0.4,1.0
95,0.4,1.1
96,0.4,1.2000000000000002
97,0.4,1.3
98,0.4,1.4000000000000001
99,0.4,1.5
100,0.4,1.6
101,0.4,1.7000000000000002
102,0.4,1.8
103,0.4,1.9000000000000001
104,0.4,2.0
105,0.5,0.0
106,0.5,0.1
107,0.5,0.2
108,0.5,0.30000000000000004
109,0.5,0.4
110,0.5,0.5
111,0.5,0.6000000000000001
112,0.5,0.7000000000000001
113,0.5,0.8
114,0.5,0.9
115,0.5,1.0
116,0.5,1.1
117,0.5,1.2000000000000002
118,0.5,1.3
119,0.5,1.4000000000000001
120,0.5,1.5
121,0.5,1.6
122,0.5,1.7000000000000002
123,0.5,1.8
124,0.5,1.9000000000000001
125,0.5,2.0
126,0.6000000000000001,0.0
127,0.6000000000000001,0.1
128,0.6000000000000001,0.2
129,0.6000000000000001,0.30000000000000004
130,0.6000000000000001,0.4
131,0.6000000000000001,0.5
132,0.6000000000000001,0.6000000000000001
133,0.6000000000000001,0.7000000000000001
134,0.6000000000000001,0.8
135,0.6000000000000001,0.9
136,0.6000000000000001,1.0
137,0.6000000000000001,1.1
138,0.6000000000000001,1.2000000000000002
139,0.6000000000000001,1.3
140,0.6000000000000001,1.4000000000000001
141,0.6000000000000001,1.5
142,0.6000000000000001,1.6
143,0.6000000000000001,1.7000000000000002
144,0.6000000000000001,1.8
145,0.6000000000000001,1.9000000000000001
146,0.6000000000000001,2.0
147,0.7000000000000001,0.0
148,0.7000000000000001,0.1
149,0.7000000000000001,0.2
150,0.7000000000000001,0.30000000000000004
151,0.7000000000000001,0.4
152,0.7000000000000001,0.5
153,0.7000000000000001,0.6000000000000001
154,0.7000000000000001,0.7000000000000001
155,0.7000000000000001,0.8
156,0.7000000000000001,0.9
157,0.7000000000000001,1.0
158,0.7000000000000001,1.1
159,0.7000000000000001,1.2000000000000002
160,0.7000000000000001,1.3
161,0.7000000000000001,1.4000000000000001
162,0.7000000000000001,1.5
163,0.7000000000000001,1.6
164,0.7000000000000001,1.7000000000000002
165,0.7000000000000001,1.8
166,0.7000000000000001,1.9000000000000001
167,0.7000000000000001,2.0
168,0.8,0.0
169,0.8,0.1
170,0.8,0.2
171,0.8,0.30000000000000004
172,0.8,0.4
173,0.8,0.5
174,0.8,0.6000000000000001
175,0.8,0.7000000000000001
176,0.8,0.8
177,0.8,0.9
178,0.8,1.0
179,0.8,1.1
180,0.8,1.2000000000000002
181,0.8,1.3
182,0.8,1.4000000000000001
183,0.8,1.5
184,0.8,1.6
185,0.8,1.7000000000000002
186,0.8,1.8
187,0.8,1.9000000000000001
188,0.8,2.0
189,0.9,0.0
190,0.9,0.1
191,0.9,0.2
192,0.9,0.30000000000000004
193,0.9,0.4
194,0.9,0.5
195,0.9,0.6000000000000001
196,0.9,0.7000000000000001
197,0.9,0.8
198,0.9,0.9
199,0.9,1.0
200,0.9,1.1
201,0.9,1.2000000000000002
202,0.9,1.3
203,0.9,1.4000000000000001
204,0.9,1.5
205,0.9,1.6
206,0.9,1.7000000000000002
207,0.9,1.8
208,0.9,1.9000000000000001
209,0.9,2.0
210,1.0,0.0
211,1.0,0.1
